id_cliente,idade,renda_mensal,score_gastos
1,23,2105,18
2,24,1821,35
3,18,1300,29
4,25,1405,13
5,23,2090,23
6,24,1525,28
7,22,1479,15
8,22,1652,31
9,18,1545,31
10,23,1925,21
11,21,2226,32
12,20,1581,13
13,20,1639,21
14,22,1978,26
15,25,1331,31
16,19,1439,11
17,24,2023,20
18,18,2208,19
19,24,2321,32
20,19,1731,18
21,25,2425,17
22,21,1939,21
23,19,1454,24
24,24,1588,23
25,18,1661,18
26,22,1757,22
27,20,2296,20
28,23,1396,28
29,23,1247,37
30,25,2142,12
31,20,1714,12
32,21,2168,40
33,20,1238,19
34,21,1728,33
35,24,2141,28
36,18,2181,36
37,20,1494,30
38,21,1752,26
39,20,1527,33
40,18,1407,37
41,24,1228,17
42,19,2403,23
43,20,1371,38
44,24,1232,25
45,22,1288,19
46,20,1718,18
47,21,1911,19
48,24,1842,12
49,21,2411,13
50,23,1902,10
51,24,2369,22
52,25,1769,18
53,22,2216,18
54,18,1932,31
55,20,1872,35
56,20,2051,27
57,19,1542,26
58,23,2312,37
59,19,1789,38
60,25,2388,30
61,19,2250,11
62,23,2479,34
63,24,1494,29
64,23,2451,28
65,23,1492,37
66,25,1908,29
67,18,2188,37
68,23,1439,27
69,22,2106,35
70,32,14931,73
71,32,12942,71
72,37,8696,78
73,46,8549,91
74,37,12266,97
75,46,8634,84
76,48,8950,77
77,45,14624,70
78,37,12928,83
79,35,10379,100
80,36,6163,86
81,43,7068,97
82,44,7769,99
83,35,11698,95
84,47,7143,76
85,49,13667,74
86,33,5882,76
87,35,6769,100
88,48,5768,94
89,46,5062,85
90,48,12161,92
91,43,7688,100
92,41,10935,91
93,42,14901,97
94,47,6495,82
95,49,6666,75
96,43,7056,95
97,36,10552,86
98,49,11167,74
99,33,11511,95
100,30,13401,99
101,42,8493,96
102,38,12864,89
103,44,5596,78
104,48,7526,70
105,44,12917,71
106,48,13870,75
107,49,11040,99
108,33,12577,98
109,30,6076,84
110,45,12589,79
111,40,8295,94
112,49,12342,83
113,48,5358,86
114,46,7082,82
115,45,8199,83
116,33,12865,74
117,38,7962,87
118,38,5616,76
119,30,6965,98
120,43,9222,96
121,36,6907,96
122,50,10695,99
123,34,8249,96
124,39,5681,91
125,50,11242,72
126,37,12316,88
127,34,5158,86
128,50,14965,96
129,36,5166,85
130,44,9896,82
131,35,7472,79
132,35,13462,85
133,48,13033,88
134,40,9966,98
135,49,12850,71
136,31,13412,99
137,34,6230,86
138,50,14064,72
139,32,8561,80
140,76,3236,58
141,66,5720,41
142,64,3553,54
143,70,5855,55
144,70,4350,41
145,74,3179,48
146,69,4011,46
147,70,3925,45
148,68,5586,44
149,72,4427,40
150,66,5713,59
151,80,5371,42
152,65,4042,46
153,79,3132,55
154,74,5702,58
155,64,5566,47
156,60,4792,43
157,77,5384,53
158,62,4590,42
159,77,4469,52
160,66,4014,47
161,74,5748,59
162,80,5628,48
163,65,3462,50
164,79,5656,42
165,62,4241,53
166,78,4656,40
167,73,5704,46
168,77,4059,41
169,70,3689,56
170,67,5294,58
171,77,5940,51
172,78,3709,46
173,71,3696,50
174,74,4738,44
175,70,5190,53
176,70,5146,53
177,70,4095,44
178,73,5313,47
179,77,4526,53
180,76,4517,45
181,78,4459,48
182,68,4956,51
183,62,3527,48
184,70,4445,41
185,68,3177,54
186,64,5834,54
187,78,5205,45
188,78,5199,58
189,68,3068,45
190,80,3724,54
191,66,5155,40
192,61,5902,56
193,71,5252,43
194,74,4617,50
195,66,4980,45
196,68,3778,47
197,68,3050,43
198,65,3799,54
199,71,4908,58
200,61,4599,44
