id_transacao,itens
1,"Pao Frances,Manteiga,Cafe,Leite,Suco,Presunto"
2,"Pao Frances,Manteiga,Cafe,Leite"
3,"Cafe,Leite,Bolo,Suco"
4,"Cafe,Leite"
5,"Pao Frances,Manteiga,Suco"
6,"Pao Frances,Manteiga,Cafe,Leite,Presunto"
7,"Pao Frances,Manteiga,Cafe,Leite"
8,"Pao Frances,Manteiga"
9,"Cafe,Leite"
10,Pao Frances
11,"Cafe,Leite"
12,"Pao Frances,Manteiga,Suco"
13,"Pao Frances,Manteiga,Presunto"
14,"Cafe,Leite,Queijo,Presunto"
15,"Pao Frances,Manteiga,Cafe,Leite"
16,"Pao Frances,Manteiga,Cafe"
17,"Pao Frances,Manteiga,Leite"
18,"Pao Frances,Manteiga,Suco,Presunto"
19,"Pao Frances,Manteiga,Leite,Suco"
20,"Queijo,Presunto"
21,"Pao Frances,Manteiga"
22,"Pao Frances,Manteiga,Cafe,Leite,Bolo"
23,"Pao Frances,Manteiga,Cafe,Leite,Queijo,Presunto"
24,"Pao Frances,Manteiga,Queijo,Presunto,Leite"
25,"Pao Frances,Manteiga,Presunto"
26,"Cafe,Leite,Bolo"
27,"Cafe,Leite"
28,"Pao Frances,Manteiga,Bolo"
29,"Pao Frances,Manteiga,Cafe,Leite"
30,"Pao Frances,Manteiga,Cafe,Leite,Presunto"
31,"Pao Frances,Manteiga,Queijo"
32,"Cafe,Leite,Manteiga"
33,"Cafe,Leite,Presunto"
34,"Pao Frances,Manteiga,Cafe,Leite,Bolo"
35,"Pao Frances,Manteiga,Cafe,Leite,Presunto"
36,"Pao Frances,Manteiga,Cafe,Leite"
37,"Pao Frances,Manteiga,Presunto"
38,"Pao Frances,Manteiga,Cafe,Presunto"
39,"Pao Frances,Manteiga,Cafe,Leite,Bolo,Suco"
40,"Pao Frances,Manteiga,Cafe"
41,"Pao Frances,Manteiga,Cafe,Leite"
42,Pao Frances
43,"Pao Frances,Manteiga,Cafe,Leite"
44,"Pao Frances,Manteiga,Suco"
45,"Pao Frances,Manteiga,Queijo"
46,"Cafe,Leite,Queijo,Presunto"
47,"Pao Frances,Manteiga,Queijo,Presunto,Cafe"
48,"Pao Frances,Manteiga,Cafe,Leite,Queijo"
49,"Pao Frances,Manteiga"
50,"Cafe,Leite,Queijo,Presunto"
51,"Pao Frances,Manteiga,Leite,Cafe"
52,"Pao Frances,Manteiga,Cafe,Leite"
53,"Pao Frances,Manteiga,Cafe,Leite"
54,"Cafe,Leite"
55,"Queijo,Presunto,Cafe"
56,"Pao Frances,Manteiga,Cafe,Leite"
57,"Pao Frances,Manteiga,Cafe,Leite,Queijo,Presunto,Suco"
58,Cafe
59,"Pao Frances,Manteiga,Suco"
60,"Pao Frances,Manteiga,Cafe,Leite,Queijo"
61,"Pao Frances,Manteiga,Cafe,Leite"
62,Pao Frances
63,"Pao Frances,Manteiga,Cafe,Leite"
64,"Pao Frances,Manteiga,Cafe,Leite,Queijo,Presunto,Bolo"
65,"Queijo,Suco"
66,"Pao Frances,Manteiga"
67,"Pao Frances,Manteiga,Cafe,Leite,Bolo"
68,Cafe
69,"Pao Frances,Manteiga,Queijo"
70,"Pao Frances,Manteiga,Cafe,Leite,Bolo"
71,"Cafe,Leite,Queijo,Presunto"
72,"Pao Frances,Manteiga,Presunto"
73,Cafe
74,"Pao Frances,Manteiga"
75,"Pao Frances,Manteiga"
76,"Pao Frances,Manteiga,Cafe,Suco"
77,"Queijo,Presunto,Manteiga,Pao Frances"
78,"Pao Frances,Manteiga"
79,"Pao Frances,Manteiga,Cafe,Leite"
80,"Pao Frances,Manteiga,Bolo"
81,"Pao Frances,Manteiga,Cafe,Leite,Queijo,Presunto"
82,Leite
83,Pao Frances
84,"Pao Frances,Manteiga"
85,"Cafe,Leite,Bolo"
86,Leite
87,"Pao Frances,Manteiga,Presunto,Leite"
88,"Pao Frances,Manteiga,Queijo,Presunto,Suco"
89,"Pao Frances,Manteiga,Suco,Leite"
90,"Queijo,Presunto,Manteiga"
91,"Pao Frances,Manteiga,Queijo,Presunto,Cafe"
92,"Pao Frances,Manteiga,Bolo"
93,"Pao Frances,Manteiga,Cafe,Leite"
94,"Queijo,Presunto,Manteiga,Leite"
95,"Pao Frances,Manteiga,Cafe,Leite,Queijo,Presunto"
96,"Pao Frances,Manteiga"
97,"Pao Frances,Manteiga,Queijo,Presunto"
98,"Pao Frances,Manteiga,Cafe,Leite,Presunto"
99,"Pao Frances,Manteiga,Cafe,Leite"
100,"Pao Frances,Manteiga,Leite"
101,"Pao Frances,Manteiga,Bolo"
102,Pao Frances
103,Bolo
104,"Pao Frances,Manteiga,Presunto,Suco"
