request_id,ip_origem,url_uri,metodo_http,user_agent,headers_extras,query_params,body,cookies,tamanho_requisicao,taxa_requisicoes_1m,tls_fingerprint,geolocalizacao,reputacao_ip,historico_sessao,label,tipo_ataque
584b5482,122.189.147.161,/produtos,POST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""terrance59"", ""pass"": ""******""}",session_id=835e5bb1-de39-4a7f-ab77-e0a9d5167aae; theme=dark,268,15,046e7511c8a17251eba27bcf25774a37,DE,0.73,new,normal,none
45f35ba9,61.166.111.147,/login,DELETE,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""' UNION SELECT null, username, password FROM users--""}",session_id=7fa55e8b-2eeb-4f0f-8dc8-e29d92ba3173;,493,22,6b2bf6075de7a2f9749123e5663cf2d3,IN,0.47,previously_flagged,suspeita,sqli
b3befe43,43.185.52.208,/login,POST,python-requests/2.25.1,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=cecdaefa-969e-45a7-90f5-f5fae02d3e2a;,601,91,d96bb42c666aee35a6f60bd0535fc851,US,0.41,new,suspeita,bot
b177fdc3,96.11.96.94,/search,DELETE,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=fac92ca5-d51c-4461-97ad-7b795ee4843b;,797,2044,7f0c0a9adae01399ef198b5a8b2b773d,IN,0.16,previously_flagged,suspeita,dos
ec079b6f,184.200.197.220,/api/users,POST,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,,,session_id=5e515681-1648-42e2-93d9-f1bad4b907b6;,304,191,0eee450c2791b209e3a236b0363e1716,GB,0.23,new,suspeita,dos
bd4b669a,58.179.14.216,/admin,PUT,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,search=javascript:eval('var a=1'),,session_id=aa9a65b6-cdac-41ec-8f63-4b501e01b57a;,349,1,bc9db23abddd5746a822e7242e6bafa8,DE,0.3,previously_flagged,suspeita,xss
bc7e0520,5.12.102.193,/produtos,POST,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""patricialove"", ""pass"": ""******""}",session_id=0a63e68c-53b2-4310-b5a8-126bc6b8ace9; theme=dark,734,2,de1b3ab47c1e74354abdd2d87be5d47a,US,0.79,established,normal,none
0eda51a5,62.172.133.87,/api/users,PUT,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,Content-Type: text/html; Accept-Language: pt-BR,search=<script>alert(1)</script>,,session_id=db5d2b05-df90-49e0-aa01-ce8f4a63c437;,746,12,64df0750478068fc7d2d5334750c5924,GB,0.08,previously_flagged,suspeita,xss
71c5f35b,78.4.44.93,/admin,POST,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Content-Type: text/html; Accept-Language: pt-BR,search=javascript:eval('var a=1'),,session_id=e77a278c-c224-4188-89cb-53d9ec2ec039;,666,11,0533e0e7b7ca2713b88547395e6c4159,BR,0.19,previously_flagged,suspeita,xss
8e6c978b,37.201.31.23,/produtos,POST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,Content-Type: application/json; Accept-Language: pt-BR,,"{""username"": ""tylerjohnson"", ""pass"": ""******""}",session_id=76c1a365-67cd-4ab2-a2f2-612556441984; theme=dark,295,11,23d7ba66f4227474f6421092baaa3b27,BR,0.88,new,normal,none
