sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15
25.23,20.22,24.98,25.19,24.74,22.15,26.35,41.25,43.04,28.03,64.89,94.71,92.13,7.66,25.33
59.27,55.74,59.81,68.07,48.73,17.01,19.28,16.77,22.55,29.45,120.06,156.29,50.14,110.17,77.29
37.25,31.49,34.82,30.03,31.11,33.05,17.92,21.01,22.59,45.63,199.63,35.73,143.1,188.91,166.85
15.28,14.1,16.05,16.44,18.92,34.3,54.06,42.65,48.95,40.95,16.41,102.33,37.16,163.55,191.15
118.76,109.81,100.16,113.3,110.15,0.44,0.33,0.33,0.33,0.37,1.57,161.9,106.44,88.37,152.48
47.19,52.62,54.31,49.66,58.51,12.89,30.45,31.74,20.28,36.1,124.47,87.11,130.65,150.54,84.93
34.54,37.5,43.75,42.52,32.98,35.67,31.94,42.43,25.97,18.57,141.76,34.27,73.79,87.2,156.04
31.55,34.26,32.28,39.11,30.94,28.03,20.39,28.15,28.44,19.48,24.27,106.14,177.01,181.18,110.24
79.41,83.68,86.84,104.9,90.97,0.86,0.6,0.67,0.82,0.4,54.47,190.96,141.25,158.6,121.73
17.34,15.91,15.34,17.36,12.48,60.42,27.84,25.76,50.58,23.53,7.17,58.13,66.71,35.4,107.57
74.6,79.26,79.46,77.0,74.19,12.33,10.44,11.56,16.64,10.85,199.55,118.08,170.72,117.62,49.74
84.53,111.07,89.04,97.08,77.25,2.36,2.87,1.42,1.98,2.98,44.19,131.67,4.35,184.23,154.06
36.64,41.62,33.62,34.68,43.3,20.33,17.51,34.69,26.08,33.59,3.02,115.38,150.36,87.69,128.13
70.97,71.71,73.06,75.99,60.02,14.23,8.22,20.4,9.58,19.27,126.69,92.03,38.42,95.62,2.62
93.88,77.8,84.72,83.98,70.46,5.49,11.82,7.81,12.34,11.9,124.1,2.52,189.71,31.01,107.24
83.39,97.3,71.71,68.79,99.39,4.16,6.17,9.19,8.64,5.67,36.1,95.04,97.97,104.08,78.28
21.85,16.02,16.68,15.98,19.37,40.91,55.06,35.35,41.28,55.22,78.6,45.81,151.91,63.27,38.74
67.77,73.81,74.79,61.9,70.68,8.69,16.21,13.64,18.06,12.05,122.48,159.07,46.79,111.01,106.83
47.47,61.98,53.2,50.23,49.85,28.5,20.93,13.97,30.25,30.01,174.16,49.77,75.33,63.85,166.66
76.81,73.81,84.3,64.6,81.15,9.95,7.17,19.48,17.14,8.23,173.22,131.46,130.09,174.16,38.11
1.16,1.3,1.29,1.0,1.05,63.94,25.44,54.64,52.19,43.22,82.33,19.44,169.6,22.12,73.93
82.63,78.0,71.81,72.5,73.9,11.85,9.07,6.25,11.55,7.81,160.85,118.75,192.88,40.52,56.35
87.43,81.86,67.22,75.64,86.86,6.72,19.27,14.09,14.24,15.53,184.34,192.26,90.41,65.81,101.13
41.61,41.43,36.87,35.04,41.19,31.89,32.15,22.08,36.13,21.75,85.63,184.16,194.28,190.42,58.55
40.29,37.62,32.86,32.74,32.82,31.22,23.46,22.48,40.3,37.77,21.99,143.24,29.75,176.43,88.37
87.63,110.44,82.44,91.84,100.84,4.89,3.72,4.39,3.49,2.83,13.51,45.24,133.13,45.74,138.79
94.1,69.08,89.46,69.01,91.89,10.48,13.76,10.55,9.59,11.78,86.34,163.7,32.66,93.44,3.97
36.53,35.04,47.95,35.64,41.61,26.59,24.76,31.45,21.44,36.48,178.27,152.16,106.84,14.49,158.12
66.07,69.2,68.04,62.34,71.16,11.87,13.21,24.44,14.6,24.59,115.34,35.09,107.31,23.5,15.17
25.35,24.01,25.7,23.85,25.95,28.62,24.01,21.7,41.35,49.18,56.95,79.4,71.07,35.48,71.96
92.83,91.2,92.49,85.99,82.78,9.33,7.35,8.74,5.92,7.58,91.17,65.43,56.73,65.81,172.78
